店铺名称,手机品牌,商品编号,商品名称,CPU型号,后摄主摄像素,前摄主摄像素,系统,商品评价量,手机价格
朵唯手机京东自营旗舰店,朵唯（DOOV）,100028000000,朵唯D60promax,,1600万像素,1300万像素,Android,1万+,699
Hi nova京东自营旗舰店,Hi nova,100037000000,Hi novaHi nova 9 SE,,1亿像素,1600万像素,Android,500+,2699
vivo京东自营官方旗舰店,vivo,100038000000,vivoS15e,三星Exynos 1080,5000万像素,1600万像素,Android,2000+,2499
小米京东自营旗舰店,小米（MI）,100016000000,小米Redmi Note 11 4G,Helio G88,5000万像素,800万像素,Android,20万+,1069
华为京东自营官方旗舰店,华为（HUAWEI）,100021000000,华为nova 8 Pro,麒麟985,6400万像素,3200万像素,其他OS,50万+,3799
京东之家官方旗舰店,荣耀（HONOR）,10032100000000,荣耀（HONOR）荣耀50,,,,Android,2万+,2389
荣耀京东自营旗舰店,荣耀（HONOR）,100022000000,荣耀play5 5G,天玑800U,6400万像素,1600万像素,Android,20万+,1499
诺基亚手机京东自营旗舰店,诺基亚（NOKIA）,100027000000,诺基亚诺基亚G50,,4800万像素,800万像素,Android,2000+,1999
OPPO京东自营官方旗舰店,OPPO,100030000000,OPPOReno7 SE,,,,Android,1万+,1899
掌视界数码旗舰店,华为（HUAWEI）,10046500000000,华为（HUAWEI）nova9 系列,,,,HarmonyOS 2.0.1,2000+,2319
京东移动生态自营专区,荣耀（HONOR）,100018000000,荣耀荣耀X30,,,,Android,1000+,1589
纽曼手机旗舰店,纽曼（Newman）,10039400000000,纽曼（Newman）X13,,,,其他,1万+,459
荣耀京东自营旗舰店,荣耀（HONOR）,100030000000,荣耀60 Pro,,10800万像素,,其他,2万+,3599
Hi nova京东自营旗舰店,Hi nova,100030000000,Hi nova9 Pro,骁龙778G,5000万像素,3200万像素,Android,5000+,3399
中国移动官方旗舰店,小米（MI）,100011000000,小米Redmi 9A,其他,其他,其他,Android,2万+,599
京联通达旗舰店,荣耀（HONOR）,10032600000000,荣耀（HONOR）荣耀50se,天玑900,1亿像素,1600万像素,Android,5000+,1548
华为京东自营官方旗舰店,华为（HUAWEI）,100014000000,华为P50,骁龙888 4G,5000万像素,1300万像素,HarmonyOS 2,5万+,4388
小米京东自营旗舰店,小米（MI）,100031000000,小米小米12X,骁龙870,5000万像素,3200万像素,Android,2万+,2999
iQOO京东官方自营旗舰店,vivo,100017000000,vivoiQOO 9 Pro,,5000万像素,1600万像素,Android,2万+,4999
金诚腾达手机旗舰店,天语（K-Touch）,10026500000000,天语（K-Touch）T12Pro,其他,,,Android,5000+,689
荣耀京东自营旗舰店,荣耀（HONOR）,100017000000,荣耀畅玩30 Plus,,1300万像素,500万像素,其他,2万+,1099
京东之家官方旗舰店,荣耀（HONOR）,10030000000000,荣耀畅玩20 4G全网通老人学生智能手机 5000mAh续航 6.5英寸护眼大屏 幻夜黑 4+128G 官方标配（享90天碎屏险）,Unisoc T610,,,Android,5万+,819
OPPO京东自营官方旗舰店,OPPO,100026000000,OPPOK9 Pro,天玑1200,6400万像素,1600万像素,Android,10万+,1899
金立手机京东自营旗舰店,金立（Gionee）,100030000000,金立K13Pro,,1300万像素,500万像素,Android,1万+,699
京东之家官方旗舰店,荣耀（HONOR）,10042100000000,荣耀play5t pro 手机 6400万双摄 6.6英寸全视屏 幻夜黑 8+128G 官方标配,,,,Android,5000+,999.01
OPPO酷炫手机专卖店,OPPO,10042500000000,OPPOK9x,天玑810,6400万像素,1600万像素,Android,2000+,1519
荣耀京东自营旗舰店,荣耀（HONOR）,100012000000,荣耀50 5G,其他,10800万像素,3200万像素,Android,20万+,2499
京铠玄手机旗舰店,华为（HUAWEI）,10046700000000,华为（HUAWEI）HUAWEI P50E,,,,HarmonyOS 2,1000+,4458
一加手机京东自营官方旗舰店,一加,100021000000,一加Ace,天玑8100,5000万像素,1600万像素,Android,1万+,2999
京东移动生态自营专区,小米（MI）,100020000000,小米Redmi K50,,,,Android,200+,2599
realme真我京东自营旗舰店,真我（realme）,100031000000,真我GT 2 Pro,骁龙8 Gen 1,5000万像素,3200万像素,Android,2万+,3499
詹姆士手机旗舰店,金立（Gionee）,10035200000000,金立M30高端商务轻奢智能手机一万毫安大电池超长待机男士学生安卓三防老人老年机小米华为荣耀通用接口 睿智黑【128GB】,其他,其他,其他,功能机,1000+,1199
,天语（K-TOUCH）,100038000000,天语X13Pro Max,,1300万像素,500万像素,Android,500+,699
iQOO京东官方自营旗舰店,vivo,100025000000,vivoiQOO 8 Pro,骁龙888 Plus,5000万像素,1600万像素,Android,5万+,4299
一加手机京东自营官方旗舰店,一加,100011000000,一加9,骁龙888,4800万像素,1600万像素,Android,20万+,2999
京铠玄手机旗舰店,华为（HUAWEI）,10038500000000,华为智选 优畅享20plus 5G手机 【优畅享20plus】翡冷翠 6+128GB,,,,Android,5000+,1299
OPPO京东自营官方旗舰店,OPPO,100037000000,OPPOK10,其他,6400万像素,1600万像素,Android,5000+,2199
VERTU中艺天工专卖店,VERTU,10039400000000,【12期免息】iVERTU纬图 5G全面屏手机 骁龙888 双6400万主摄 55W闪充 威图商务 黑武士（磨砂盖）-12GB+512GB,,,,Android,100+,19800
京东移动生态自营专区,小米（MI）,100018000000,小米Redmi Note10 ,天玑700,4800万像素,800万像素,Android,5000+,1199
iQOO官方旗舰店,vivo,10038300000000,vivovivo iQOO Z5x,天玑900,,800万像素,Android,1万+,1299
炜东电商旗舰店,华为（HUAWEI）,68389838718,华为（HUAWEI）nova 7 5G,麒麟985,6400万像素,3200万像素,Android,2万+,2468
iQOO官方旗舰店,vivo,10050700000000,vivoiQOO Neo5活力版,骁龙870,5000万像素,1600万像素,Android,5万+,2099
vivo京东自营官方旗舰店,vivo,100030000000,vivoS12,天玑1100,10800万像素,4400万像素,Android,5万+,2599
360 OS旗舰店,360 OS,10051800000000,360 OSQSN2201,,4800万像素,800万像素,Android,2,1898
realme真我京东自营旗舰店,真我（realme）,100012000000,真我GT 大师探索版,骁龙870,5000万像素,3200万像素,Android,20万+,3199
金诚腾达手机旗舰店,天语（K-Touch）,10034000000000,天语（K-Touch）P50 pro,其他,1300万像素,500万像素,Android,2000+,489
京铠玄手机旗舰店,荣耀（HONOR）,10035300000000,荣耀x20 5G手机66W超级快充 120Hz高刷屏 x20幻夜黑 8GB+128GB 官方标配,天玑900,6400万像素,1600万像素,Android,5000+,1329
荣耀京东自营旗舰店,荣耀（HONOR）,100034000000,荣耀荣耀手机,骁龙8 Gen 1,5000万像素,1200万像素,Android,2万+,4499
久汇通手机旗舰店,华为（HUAWEI）,10042500000000,华为（HUAWEI）nova9 5G,骁龙778G,5000万像素,3200万像素,Android,2万+,2789
小米京东自营旗舰店,小米（MI）,100027000000,小米小米 Civi,骁龙778G,6400万像素,3200万像素,Android,5万+,2499
小米京东自营旗舰店,小米（MI）,100017000000,小米 11,骁龙888,1亿像素,2000万像素,Android,50万+,3499
realme真我京东自营旗舰店,真我（realme）,100021000000,真我Q5,骁龙695,5000万像素,1600万像素,Android,2000+,1369
黑鲨京东自营官方旗舰店,黑鲨,100019000000,黑鲨新品,骁龙888 Plus,6400万像素,2000万像素,Android,2000+,3499
vivo京东自营官方旗舰店,vivo,100038000000,vivoX80,,5000万像素,3200万像素,Android,5000+,4399
OPPO手机乐良专卖店,OPPO,10040900000000,OPPOReno 7,骁龙778G,6400万像素,3200万像素,Android,1000+,2269
小米京东自营旗舰店,小米（MI）,100035000000,小米Redmi K50Pro,其他,1亿像素,其他,其他,5万+,2999
华为京东自营官方旗舰店,华为（HUAWEI）,100020000000,华为P50 E,骁龙778G 4G,5000万像素,1300万像素,HarmonyOS 2,5000+,4488
京东移动生态自营专区,荣耀（HONOR）,100019000000,荣耀荣耀60 SE,,,,Android,1000+,2499
京东之家官方旗舰店,荣耀（HONOR）,10029200000000,荣耀play5t pro 6400万双摄 6.6英寸全视屏 老人学生手机 钛空银 8+128G 官方标配（享90天碎屏险）,MediaTek Helio G80,6400万像素,1600万像素,Android,2万+,1079
欧申达手机专营店,百事乐（LEBEST）,10043700000000,新款百事乐智能手机全面屏双卡长续航游戏拍照学生老年人全网通移动联通电信5G卡千元便宜超薄微信八开为华 石墨黑 8+128G,,,,Android,1000+,679
iQOO智美专卖店,vivo,10027100000000,vivoiQOO Neo6,骁龙8 Gen 1,6400万像素,,Android,5000+,3299
华为京东自营官方旗舰店,华为（HUAWEI）,100028000000,华为畅享 20e,,,,其他,20万+,999
Apple产品京东自营旗舰店,Apple,100014000000,AppleiPhone 13 Pro Max,,1200万像素,,iOS,50万+,9799
魅族京东自营旗舰店,魅族（MEIZU）,100007000000,魅族17,骁龙865,6400万像素,2000万像素,Android,5万+,1799
华为京东自营官方旗舰店,华为（HUAWEI）,100014000000,华为nova 9 Pro,,5000万像素,3200万像素,HarmonyOS 2,5万+,3699
摩托罗拉手机京东自营官方旗舰店,摩托罗拉（Motorola）,100025000000,摩托罗拉摩托罗拉edge s系列手机,骁龙870,1亿像素,1600万像素,Android,2万+,1999
iQOO官方旗舰店,vivo,10046000000000,vivoiQOO U5x,骁龙680,1300万像素,800万像素,Android,2000+,869
OPPO京东自营官方旗舰店,OPPO,100037000000,OPPOK10 Pro,骁龙888,5000万像素,1600万像素,Android,2000+,3199
诺基亚手机京东自营旗舰店,诺基亚（NOKIA）,100015000000,诺基亚215,其他,无后置摄像头,无前置摄像头,功能机,10万+,269
小米京东自营旗舰店,小米（MI）,100020000000,小米小米11 Ultra,骁龙888,5000万像素,2000万像素,Android,10万+,5499
iQOO京东官方自营旗舰店,vivo,100019000000,vivoiQOO Neo5,骁龙870,4800万像素,1600万像素,Android,50万+,2448
京域手机旗舰店,vivo,10047800000000,vivoS15e,三星Exynos 1080,,,Android,200+,2499
SONY京东自营官方旗舰店,索尼（SONY）,100039000000,索尼Xperia 1 III,,,,Android,0,8499
OPPO京东自营官方旗舰店,OPPO,100022000000,OPPOReno6 Pro,天玑1200,6400万像素,3200万像素,Android,2万+,2999
vivo京东自营官方旗舰店,vivo,100015000000,vivoT1,骁龙778G,6400万像素,1600万像素,Android,5万+,1899
小米京东自营旗舰店,小米（MI）,100022000000,小米Redmi Note10 Pro,天玑1100,6400万像素,1600万像素,Android,50万+,1699
中国移动官方旗舰店,荣耀（HONOR）,100025000000,荣耀荣耀50 SE,其他,其他,其他,其他,1万+,2299
百事乐手机官方旗舰店,百事乐（LEBEST）,10043600000000,新款百事乐S13pro超薄便宜智能手机学生价电竞游戏长续航百元大屏可用5g卡搭载华.为服务老人老年机 星愿粉 6+128GB,,,,Android,5000+,589
京域手机旗舰店,vivo,10047700000000,vivoX80 Pro,,,,Android,100+,5999
OPPO墨白专卖店,OPPO,10043400000000,【仅969】OPPO A36手机oppo手机5000mAh长续航oppoa96同款屏游戏拍照手机 A36晴川蓝（6GB+128GB)【咨询有礼】 官方标配【加1年延保+20元红包】,其他,1600万像素,,Android,200+,969
疆界互联旗舰店,荣耀（HONOR）,68595977647,荣耀（HONOR）荣耀X20（5G）,,,,Android,2万+,1329
中兴京东自营官方旗舰店,中兴（ZTE）,100022000000,中兴ZTE 8031,紫光展锐,1600万像素,800万像素,Android,2万+,698
小米京东自营旗舰店,小米（MI）,100019000000,小米Redmi K50 电竞版,骁龙8 Gen 1,6400万像素,2000万像素,Android,2万+,3599
京东之家官方旗舰店,小米（MI）,10029100000000,小米（MI）Redmi 9A,其他,1300万像素,500万像素,Android,10万+,581
万鹏手机专营店,关爱心,10039300000000,新款X13promax超薄电竞游戏智能手机旗舰机可用5G移动电信卡老人学生老年机关爱心 初雪水晶【4+32G】,,,,Android,5000+,489
茄子手机旗舰店,小米（MI）,71865667947,小米（MI）redmi 9A,,,,,5万+,590
酷派京东自营旗舰店,酷派（Coolpad）,100022000000,酷派COOL 20,其他,4800万像素,500万像素,其他OS,1万+,699
努比亚京东自营旗舰店,努比亚（nubia）,100033000000,努比亚Z40Pro,骁龙8 Gen 1,6400万像素,,Android,1万+,3999
vivo京东自营官方旗舰店,vivo,100027000000,vivoT1x,天玑900,6400万像素,800万像素,Android,2万+,1599
京联通达旗舰店,华为（HUAWEI）,10036400000000,华为nova9 新品手机【搭载HarmonyOS2系统】 亮黑色 全网通8+128GB品牌66W充电套装+10重好礼,,,,HarmonyOS 2,1万+,2519
小米京东自营旗舰店,小米（MI）,100020000000,小米小米11 Ultra,骁龙888,5000万像素,2000万像素,Android,10万+,5999
vivo京东自营官方旗舰店,vivo,100030000000,vivoS12 Pro,天玑1200,10800万像素,,Android,1万+,3299
索爱（soaiy）手机京东自营旗舰店,索爱（soaiy）,100007000000,索爱S20A,其他,800万像素,500万像素,Android,2万+,399
优爱特手机专营店,真我（realme）,10033800000000,真我（realme）真我GT Neo2T,天玑1200,6400万像素,1600万像素,Android,2000+,1498
小米手机官方旗舰店,小米（MI）,10046800000000,小米（MI）22041211AC,,,,Android,5000+,2799
荣耀京东自营旗舰店,荣耀（HONOR）,100019000000,荣耀荣耀手机,骁龙8 Gen 1,5000万像素,1200万像素,Android,1万+,5899
三星京东自营官方旗舰店,三星（SAMSUNG）,100013000000,三星Galaxy Z Flip3 5G,骁龙888,1200万像素,1000万像素,Android,2万+,7599
realme真我京东自营旗舰店,真我（realme）,100032000000,真我GT 2,骁龙888,5000万像素,1600万像素,Android,1万+,2599
联想京东自营旗舰店,联想（Lenovo）,100034000000,联想拯救者电竞手机,骁龙8 Gen 1,,,Android,2000+,3699
三星京东自营官方旗舰店,三星（SAMSUNG）,100032000000,三星Galaxy S21 FE 5G,,,,Android,2000+,3899
vivo京东自营官方旗舰店,vivo,100038000000,vivoX80 Pro,骁龙8 Gen 1,5000万像素,3200万像素,Android,2000+,5999
华为京东自营官方旗舰店,Hi nova,100030000000,Hi novaHi nova 9 Pro,,5000万像素,3200万像素,Android,1万+,3799
OPPO京东自营官方旗舰店,OPPO,100017000000,OPPOFind N,,5000万像素,3200万像素,Android,2万+,7699
小米京东自营旗舰店,小米（MI）,100019000000,小米Redmi K40 5G,骁龙870,4800万像素,2000万像素,Android,100万+,1999
华为京东自营官方旗舰店,华为（HUAWEI）,100027000000,华为nova 9,骁龙778G 4G,5000万像素,3200万像素,HarmonyOS 2,10万+,2549
小米京东自营旗舰店,小米（MI）,100020000000,小米小米MIX FOLD,骁龙888,1亿像素,2000万像素,Android,2万+,6999
华为京东自营官方旗舰店,华为（HUAWEI）,100017000000,华为P50系列,骁龙888,5000万像素,1300万像素,HarmonyOS 2,5万+,5988
天语手机京东自营官方旗舰店,天语（K-TOUCH）,100016000000,天语S6,紫光展锐,无后置摄像头,无前置摄像头,功能机,10万+,168
京东移动生态自营专区,荣耀（HONOR）,100037000000,荣耀荣耀Play5,,,,Android,1000+,1499
京联通达旗舰店,华为（HUAWEI）,10041100000000,华为nova8se 麒麟710A芯片 搭载HarmonyOS系统 幻夜黑 8GB+128GB（66W充电套装+耳机套装）,麒麟710A,4800万像素,1600万像素,HarmonyOS 2,1万+,1649
三星京东自营官方旗舰店,三星（SAMSUNG）,100018000000,三星Galaxy S21 5G,骁龙888,1200万像素,1000万像素,Android,10万+,4299
魅族京东自营旗舰店,魅族（MEIZU）,100026000000,魅族18s,骁龙888 Plus,6400万像素,2000万像素,Android,1万+,2899
三星京东自营官方旗舰店,三星（SAMSUNG）,100027000000,三星W22 5G,骁龙888,,,Android,5000+,16999
OPPO京东自营官方旗舰店,OPPO,100021000000,OPPOFind X3,骁龙870,5000万像素,3200万像素,Android,10万+,3499
万鹏手机专营店,关爱心,10039300000000,新款X13promax超薄电竞游戏智能手机旗舰机可用5G移动电信卡老人学生老年机关爱心 初雪水晶【4+32G】,,,,Android,5000+,489
vivo京东自营官方旗舰店,vivo,100021000000,vivoX60t Pro+,骁龙888,5000万像素,3200万像素,Android,2万+,3499
华为京东自营官方旗舰店,华为（HUAWEI）,100031000000,华为HUAWEI P50 Pocket,,4000万像素,,HarmonyOS 2,2万+,10988
小米京东自营旗舰店,小米（MI）,100020000000,小米小米11 Pro,骁龙888,5000万像素,2000万像素,Android,20万+,4699
努比亚京东自营旗舰店,努比亚（nubia）,100033000000,努比亚红魔7,,,,Android,5000+,3699
一加手机京东自营官方旗舰店,一加,100015000000,一加新品,骁龙888,5000万像素,1600万像素,Android,5万+,3299
OKSJ手机旗舰店,Hi nova,10041500000000,Hi novaHi nova9,其他,,,Android,2000+,2799
三星京东自营官方旗舰店,三星（SAMSUNG）,100027000000,三星W22 5G,骁龙888,,,Android,5000+,16999
三星京东自营官方旗舰店,三星（SAMSUNG）,100025000000,三星Galaxy Z Fold3 5G,骁龙888,1200万像素,其他,Android,1万+,14999
华为京东自营官方旗舰店,华为（HUAWEI）,100020000000,华为P50 E,骁龙778G 4G,5000万像素,1300万像素,HarmonyOS 2,5000+,4488
OPPO京东自营官方旗舰店,OPPO,100033000000,OPPOFind X5 Pro 5G,骁龙8 Gen 1,5000万像素,3200万像素,Android,1万+,6299
vivo官方旗舰店,vivo,10036800000000,vivoX70 Pro,三星Exynos 1080,5000万像素,3200万像素,Android,2000+,3999
vivo官方旗舰店,vivo,10049100000000,vivoX80,,,,Android,200+,3699
飞利浦手机京东自营旗舰店,飞利浦（PHILIPS）,100006000000,飞利浦E109,其他,无后置摄像头,无前置摄像头,功能机,10万+,97
三星京东自营官方旗舰店,三星（SAMSUNG）,100032000000,三星Galaxy S21 FE 5G,,,,Android,2000+,3899
联想京东自营官方旗舰店,联想（Lenovo）,10050100000000,联想（Lenovo）拯救者电竞手机,骁龙8,6400万像素,1600万像素,Android,23,3699
三星京东自营官方旗舰店,三星（SAMSUNG）,100008000000,三星Galaxy Note20 Ultra 5G,骁龙865 plus,1亿像素,1000万像素,Android,5万+,6299
realme真我官方旗舰店,真我（realme）,10048900000000,真我（realme）Q5,,,,Android,100+,1399
VERTU中艺天工专卖店,VERTU,10039500000000,【12期免息】iVERTU纬图 5G旗舰全面屏商务手机 骁龙888 威图V图高端亿级像素节日礼盒 黑武士（磨砂盖）-12GB+512GB,,,,Android,18,16800
荣耀京东自营旗舰店,荣耀（HONOR）,100024000000,荣耀Magic3 至臻版,骁龙888 Plus,5000万像素,1300万像素,Android,1万+,6999
天语手机京东自营官方旗舰店,天语（K-TOUCH）,100016000000,天语S6,紫光展锐,无后置摄像头,无前置摄像头,功能机,10万+,168
京东之家官方旗舰店,华为（HUAWEI）,10045500000000,华为（HUAWEI）mate 40 E pro,,,,HarmonyOS 2,500+,7249
耐谷手机旗舰店,华为（HUAWEI）,10049700000000,华为畅享20 5G手机 畅玩20 幻夜黑 4GB+64GB,,,,Android,500+,766
金诚旗舰店,天语（K-Touch）,69323324707,天语（K-Touch）F12 Pro,其他,,,Android,500+,699
茄子手机旗舰店,努比亚（nubia）,10044500000000,努比亚（nubia）红魔7,,,,其他,100+,5999
疆界互联旗舰店,Apple,55370143413,AppleiPhone 11,其他,1200万像素,1200万像素,iOS,5万+,4089
小米京东自营旗舰店,小米（MI）,100013000000,小米MIX 4,骁龙888 Plus,1亿像素,2000万像素,Android,10万+,4899
久汇通手机旗舰店,华为（HUAWEI）,68377418809,华为（HUAWEI）nova 9 SE,骁龙680,10800万像素,1600万像素,HarmonyOS 2.0.1,2万+,2389
荣耀京东自营旗舰店,荣耀（HONOR）,100034000000,荣耀荣耀手机,,,,Android,500+,7999
OPPO京东自营官方旗舰店,OPPO,100017000000,OPPOFind N,,5000万像素,3200万像素,Android,2万+,7699
iQOO官方旗舰店,vivo,10046000000000,vivoiQOO U5x,骁龙680,1300万像素,800万像素,Android,2000+,869
